DFT,MACE
-504319.9448645,-284.0069614416726
-504314.8884646,-280.2893289085399
-504315.1644048,-280.8898553036952
-504315.2150158,-280.8123621189359
-504315.2193095,-280.7967106604931
-504315.4169783,-280.86196576369525
-504315.2201775,-280.7852218817972
-504316.1578945,-281.41028088252244
-504316.157891,-281.4104216862549
-504316.1579415,-281.41073769957785
-504316.1579475,-281.41059704962686
-504315.5151946,-281.1262687631054
-504315.515196,-281.12616434354004
-504315.5152129,-281.1261776478772
-741234.1809358,-280.8280588589177
-741420.4223438,-280.85102010016135
-504315.4172675,-280.854522826426
-741372.0251068,-280.8468008981
-741369.5305321,-280.84663816279243
-504316.845146,-281.6247601809649
-504317.0023732,-282.16767756784685
-504317.0486209,-282.0870091552714
-504317.0494642,-282.08737739297885
-504317.0496419,-282.08463860467
-504314.6766626,-280.70116210701394
-504315.3083859,-281.09885905397937
-504316.3117574,-281.8020553657027
-504324.2574004,-284.9911440413128
-504317.1817522,-282.37858197935236
-504317.8359723,-282.79510522384146
-504317.6706323,-282.5230418716851
-504314.6263081,-280.0541431864145
-504314.9787207,-280.62462367204967
-504315.0001788,-280.551786369528
-504315.0062455,-280.5180522418216
-504315.0082394,-280.4856339644256
-504315.0082398,-280.4852292092235
-504315.0045563,-280.4852043770607
-504318.1288244,-283.0263512078511
-504316.5375183,-281.5451156876991
-504315.0045549,-280.48487463396566
-504315.0045669,-280.4848743786153
-504324.1909077,-285.14254361015264
-504317.2937114,-282.35181675639666
-504317.2937124,-282.3517623042336
-504317.293729,-282.35178623095067
-504317.6316583,-282.3570954919431
-504317.6316336,-282.3589559175234
-504317.6316532,-282.35756993159714
-504317.6309329,-282.36442364769596
-504317.7517778,-282.3425419069794
-504314.9816772,-280.82076641760744
-504318.3064912,-282.7479564680679
-504318.4733144,-283.31023410994595
-504318.5209279,-283.2294177227076
-504318.5216002,-283.23204653659496
-504318.5217669,-283.23046914205355
-741203.6625781,-282.9059471523974
-741418.2277292,-282.9342695342491
-741359.901177,-282.9278699738639
-741358.6321846,-282.9278107443716
-504318.8594756,-283.07526464551125
-504317.4397988,-282.3778692327913
-504317.4398013,-282.37780397099056
-504317.4397782,-282.37784162884986
-504315.2866522,-280.91494109339123
-504315.286782,-280.9121607169976
-504315.2867918,-280.91213867197445
-504315.2867728,-280.9119820761386
-504315.4558421,-281.0973687088647
-504316.2198142,-281.56709919812664
-504317.3082041,-282.29583195213064
-504319.7896925,-283.6638503368066
-504318.2990484,-282.9119082975469
-504319.3731994,-283.5058636738924
-741476.323997,-283.2955739896008
-741644.3334966,-283.3134790015142
-741604.9915157,-283.30717533490343
-741603.812208,-283.3070206568782
-504318.9011247,-283.053848771888
-504316.2657526,-281.3128342404051
-504316.6549281,-281.91054763553785
-504316.7339018,-281.7930023202863
-504320.6526902,-284.17521405373475
-504316.7381888,-281.762026845796
-504316.738837,-281.75070514893116
-504315.7414598,-281.2904475614363
-504317.2544129,-282.2819337806478
-504318.6536408,-283.11328011929834
-504319.734338,-283.7095236049982
-504320.9016757,-284.3438295768839
-504315.089289,-280.89318535237805
-504315.978684,-281.5030736634282
-504316.968811,-282.18829809805817
-504318.7789893,-282.69937421571217
-504317.7770865,-282.70090690382483
-504318.5595655,-283.1773897747755
-739012.1155582,-282.13250286119046
-742258.4724315,-282.6654954428291
-741448.5780697,-282.59570696161666
-741468.663707,-282.5978436049559
-741458.872113,-282.59655516396896
-741460.5694639,-283.3824649278665
-741634.3833842,-283.4033721721144
-741584.3336885,-283.3978764621133
-504318.9058176,-283.2294235847173
-741583.08265,-283.3977594166091
-504319.3478562,-283.1152979054277
-504319.4899828,-283.6617797171206
-504319.5521469,-283.56595011197726
