DFT,MACE
-504315.1300942,-299.6949705488584
-504315.956243,-300.0192110877942
-504316.646436,-300.41902702399153
-504317.630673,-301.0317316841938
-504314.9261706,-299.0115178972726
-504315.0749228,-299.9840176081957
-504317.4669081,-301.40953780223776
-504316.9639957,-300.825258090343
-504315.1197101,-299.90304300107266
-504315.1219213,-299.7991467400551
-504315.1223145,-299.8791959205296
-504319.1364992,-302.0852681119008
-504319.1365023,-302.0991299269084
-504319.1365217,-302.0910161347471
-504315.8313506,-300.19562412257363
-504316.2010589,-300.17518101890914
-504316.6799514,-300.51519799538875
-504316.9994702,-300.6431994561869
-504316.9647167,-300.851134496493
-504317.6581379,-300.8192118206335
-504313.8563191,-298.96466750246907
-504314.6350992,-299.19400031274546
-504315.7324609,-300.12086072941133
-504316.6591483,-300.69026594792393
-504317.4117483,-301.0251579474172
-504314.815335,-299.4795713069466
-504314.815296,-299.4342800469906
-504314.8177182,-299.4814927171345
-504314.8177299,-299.46402419367047
-504316.9648874,-300.8448936613796
-504324.8284008,-303.21791756264236
-504324.8218499,-303.3926424668098
-504324.8279906,-303.4021944114951
-504324.8284851,-303.40372345375243
-504324.8285409,-303.40364995139515
-504324.8285541,-303.4069869483247
-504324.8286085,-303.4064756716989
-504315.4339174,-299.96259924292383
-504316.9372403,-300.8151007664021
-504318.2942765,-301.7375673020409
-504324.5410565,-302.74656528502703
-504319.5142802,-302.4133764821211
-504320.5866814,-302.972177614667
-504314.8624948,-299.5639922746082
-504315.4410055,-299.8775948914864
-504316.038204,-300.23257643346835
-504316.5364637,-300.52229525591616
-504317.190237,-300.94929280093993
-504318.1313778,-300.6055972701918
-504318.2916315,-301.77895490580875
-504318.3436613,-301.5636482859707
-504315.0595225,-298.6768758156881
-504318.3445139,-301.5591057637779
-504318.3446553,-301.4329553992633
-504314.8610521,-299.54853934207125
-504315.8771567,-300.03400378249205
-504317.1340513,-300.9637361378064
-504318.1934174,-301.6219917785802
-504319.0918427,-302.0788628366452
-504314.8307856,-299.58800939522075
-504314.8307823,-299.6259706346274
-504314.8307839,-299.55035623221147
-504315.3609418,-300.11292623176644
-504314.8307922,-299.60409180170336
-504315.9168781,-300.2350180530819
-504315.9601705,-300.1986857398482
-504315.9601701,-300.2079162845741
-504315.9601724,-300.1994249613303
-504315.9601796,-300.2078300232752
-504316.8072041,-300.82936637445306
-504317.8127107,-301.46315643212336
-504318.9637607,-302.17997465464083
-504319.9200946,-302.73159713259656
-504315.4146372,-299.7428413049574
-504320.8417907,-303.1735644762692
-504316.3006001,-300.4676772309068
-504317.2485982,-301.0702244307394
-504318.2761853,-301.7340586311003
-504319.1368876,-302.23465715875955
-504319.9448645,-302.6424177046731
-504314.8884646,-298.64704365820637
-504315.1644048,-299.8971385925799
-504315.2150158,-299.70613907233235
-504315.2193095,-299.651856315576
-504315.4169783,-299.71658777245403
-504315.2201775,-299.38947460892996
-504316.1578945,-300.28788216834045
-504316.157891,-300.2813160146317
-504316.1579415,-300.28923949279465
-504316.1579475,-300.24401552928293
-504315.5151946,-299.97387315507103
-504315.515196,-299.86143619076233
-504315.5152129,-299.97374759274385
-741234.1809358,-299.6699844392499
-741420.4223438,-299.8017761107181
-504315.4172675,-299.65774939014835
-741372.0251068,-299.78590667942
-741369.5305321,-299.7467225517608
-504316.845146,-299.9795930189804
-504317.0023732,-300.8794016336399
-504317.0486209,-300.9781570315692
-504317.0494642,-300.97035421354144
-504317.0496419,-300.973328644709
-504314.6766626,-299.52798716288305
-504315.3083859,-299.85933841796077
-504316.3117574,-300.5195074045383
-504324.2574004,-302.0074477922276
-504317.1817522,-300.97557523042605
-504317.8359723,-301.4169815089997
-504317.6706323,-301.2928426686277
-504314.6263081,-298.41443084733163
-504314.9787207,-299.5356489335059
-504315.0001788,-299.42244626322724
-504315.0062455,-299.3402248024413
-504315.0082394,-299.2789296097435
-504315.0082398,-299.26559653997623
-504315.0045563,-299.2784009160535
-504318.1288244,-301.7202177037441
-504316.5375183,-300.4004808878078
-504315.0045549,-299.1577912010867
-504315.0045669,-299.2779770194427
-504324.1909077,-302.1634424358964
-504317.2937114,-301.26831517042734
-504317.2937124,-301.2429922546181
-504317.293729,-301.2682709777563
-504317.6316583,-301.1029351936336
-504317.6316336,-301.2367449991813
-504317.6316532,-301.11142235042735
