DFT,MACE,num_al
-985969.4702194,-985968.7312147163,42
-985969.4707363,-985968.7312096448,42
-985969.4715362,-985968.7312028694,42
-985969.4720985,-985968.7312240222,42
-985969.4730477,-985968.7312255326,42
-985969.4735362,-985968.7312437446,42
-985969.4741466,-985968.7312622392,42
-985969.47449,-985968.7312602748,42
-985969.4747537,-985968.7312332076,42
-985969.474917,-985968.7312258945,42
-985967.9105495,-985968.6967407948,42
-985969.4751552,-985968.7312268557,42
-985969.4752626,-985968.7312474338,42
-985969.4753858,-985968.7312562446,42
-985969.4754592,-985968.731279749,42
-985969.4755209,-985968.7313037416,42
-985969.4756015,-985968.7313286415,42
-985969.4756554,-985968.7313494126,42
-985969.475717,-985968.7313710499,42
-985969.4757441,-985968.7313995698,42
-985969.4757521,-985968.7314371219,42
-985968.4668566,-985968.7085862646,42
-985969.4696863,-985968.731169953,42
-985969.4521683,-985968.7309967958,42
-985969.4702194,-985968.7312147164,42
-985969.4707363,-985968.7312096431,42
-985969.4715362,-985968.7312028678,42
-985969.4720985,-985968.7312240223,42
-985969.4730477,-985968.7312255345,42
-985969.4735362,-985968.7312437465,42
-985969.4741466,-985968.731262239,42
-985969.47449,-985968.7312602748,42
-985968.996042,-985968.720635538,42
-985969.4747537,-985968.7312332075,42
-985969.474917,-985968.7312258945,42
-985969.4751552,-985968.7312268557,42
-985969.4752626,-985968.7312474338,42
-985969.4753858,-985968.7312562446,42
-985969.4754592,-985968.7312797491,42
-985969.4755209,-985968.7313037432,42
-985969.4756015,-985968.7313286416,42
-985969.4756554,-985968.7313494143,42
-985969.475717,-985968.7313710516,42
-985969.1883068,-985968.7246573181,42
-985969.4757441,-985968.7313995715,42
-985969.4757521,-985968.7314371218,42
-985969.4747051,-985968.731449776,42
-985969.2597728,-985968.7266748312,42
-985969.3715843,-985968.7291993039,42
-985969.3879929,-985968.7291401563,42
-985964.6934365,-985968.6059490279,42
-985965.9041794,-985968.6316020235,42
-985969.4706306,-985968.7002463493,42
-985969.4923494,-985968.7006046029,42
-985969.5075086,-985968.7008189444,42
-985969.5118932,-985968.7006484905,42
-985969.5146493,-985968.7003566753,42
-985969.5149146,-985968.6996199297,42
-985969.5174096,-985968.6995867399,42
-985969.5098035,-985968.6995867419,42
-985969.5098035,-985968.6995867399,42
-985969.4869585,-985968.6991613269,42
-985966.7705168,-985968.6523387564,42
-985969.5106841,-985968.6995964221,42
-985969.5112202,-985968.6995993749,42
-985969.511333,-985968.6995893372,42
-985969.5116003,-985968.6995897358,42
-985969.5118661,-985968.6996024499,42
-985969.5121693,-985968.6996068776,42
-985969.512289,-985968.6996070519,42
-985969.5124905,-985968.6995943389,42
-985969.512592,-985968.6995786718,42
-985969.5126105,-985968.6995620757,42
-985968.2082018,-985968.6765139069,42
-985969.5131657,-985968.699560286,42
