DFT,MACE,num_al
-940193.3942219,-940236.7648603998,43
-940193.629913,-940236.7843831104,43
-940193.7686245,-940236.8112115309,43
-940193.8359743,-940236.8474264598,43
-940193.8559948,-940236.8974576975,43
-940193.901948,-940236.9057247546,43
-985964.5555407,-986012.4061953834,42
-985966.1634724,-986012.508599725,42
-985969.3061728,-986012.8843464672,42
-985969.3314616,-986012.9021015365,42
-985969.3478713,-986012.9048059522,42
-985969.3783509,-986012.8818591823,42
-985969.4009659,-986012.8533786447,42
-985969.4066924,-986012.8460613454,42
-985969.4003865,-986012.8460613453,42
-985969.3857133,-986012.8539561046,42
-985969.404775,-986012.8480814034,42
-985969.4064266,-986012.8507686806,42
-985967.1163351,-986012.7245910165,42
-985969.4072289,-986012.8535363518,42
-985969.4075269,-986012.8544067271,42
-985969.4081372,-986012.856291834,42
-985969.4086507,-986012.8576436813,42
-985969.4093749,-986012.8583567512,42
-985969.4097873,-986012.8593169267,42
-985969.409917,-986012.8611916034,42
-985969.4099283,-986012.8626077856,42
-985969.4100419,-986012.8630082621,42
-985969.410076,-986012.8633864966,42
-985967.8702209,-986012.8357112284,42
-985969.4101841,-986012.8636995048,42
-985969.410244,-986012.8644100103,42
-985969.4102584,-986012.865240562,42
-985969.410858,-986012.8653636619,42
-985968.3612304,-986012.8306766786,42
-985968.8700252,-986012.826064501,42
-985969.0734907,-986012.8227923273,42
-985969.1690343,-986012.8187049549,42
-985969.2385065,-986012.8306078607,42
-985969.2754972,-986012.8664220729,42
-985965.0741241,-986012.4517218092,42
-985966.7637208,-986012.5261931691,42
-985969.4035943,-986012.7978654766,42
-985969.4315346,-986012.803372046,42
-985969.443702,-986012.8058999298,42
-985969.4611509,-986012.8124052995,42
-985969.4718088,-986012.8188252592,42
-985969.4741253,-986012.8349043444,42
-985969.4760244,-986012.8499241046,42
-985969.4778633,-986012.8527927831,42
-985969.4696863,-986012.8527927831,42
-985969.4521683,-986012.8648595964,42
-985967.7298826,-986012.6293795087,42
-985969.4702194,-986012.856699693,42
-985969.4707363,-986012.8583464304,42
-985969.4715362,-986012.8610883193,42
-985969.4720985,-986012.8639347517,42
-985969.4730477,-986012.8666181618,42
-985969.4735362,-986012.8700004336,42
-985969.4741466,-986012.8727403943,42
-985969.47449,-986012.8763728881,42
-985969.4747537,-986012.8806332875,42
-985969.474917,-986012.8847371247,42
-985967.9105495,-986012.6692212792,42
-985969.4751552,-986012.8882618855,42
-985969.4752626,-986012.8910466619,42
-985969.4753858,-986012.8916390607,42
-985969.4754592,-986012.8927341981,42
-985969.4755209,-986012.8939869243,42
-985969.4756015,-986012.8952061385,42
-985969.4756554,-986012.8963807912,42
-985969.475717,-986012.8976865772,42
-985969.4757441,-986012.898769148,42
-985969.4757521,-986012.8997858759,42
-985968.4668566,-986012.6801242771,42
-985969.4696863,-986012.8527927833,42
-985969.4521683,-986012.8648595964,42
-985969.4702194,-986012.8566996927,42
-985969.4707363,-986012.8583464304,42
-985969.4715362,-986012.8610883191,42
-985969.4720985,-986012.8639347515,42
-985969.4730477,-986012.8666181617,42
-985969.4735362,-986012.8700004338,42
-985969.4741466,-986012.8727403943,42
-985969.47449,-986012.8763728881,42
-985968.996042,-986012.6953288972,42
-985969.4747537,-986012.8806332878,42
-985969.474917,-986012.8847371247,42
-985969.4751552,-986012.8882618854,42
-985969.4752626,-986012.8910466617,42
-985969.4753858,-986012.891639061,42
-985969.4754592,-986012.8927341978,42
-985969.4755209,-986012.8939869242,42
-985969.4756015,-986012.8952061384,42
-985969.4756554,-986012.8963807913,42
-985969.475717,-986012.8976865768,42
-985969.1883068,-986012.7184011394,42
-985969.4757441,-986012.8987691483,42
-985969.4757521,-986012.8997858757,42
-985969.4747051,-986012.8999969341,42
-985969.2597728,-986012.7479408728,42
-985969.3715843,-986012.7762515385,42
-985969.3879929,-986012.7911748774,42
-985964.6934365,-986012.4405363887,42
-985965.9041794,-986012.5903440346,42
-985969.4706306,-986012.8951473864,42
-985969.4923494,-986012.8928752404,42
-985969.5075086,-986012.8932470916,42
-985969.5118932,-986012.8967488679,42
-985969.5146493,-986012.8954819724,42
-985969.5149146,-986012.8907169065,42
-985969.5174096,-986012.8908146945,42
-985969.5098035,-986012.8908146945,42
-985969.5098035,-986012.8908146943,42
-985969.4869585,-986012.8949799464,42
-985966.7705168,-986012.8483644566,42
-985969.5106841,-986012.8919886148,42
-985969.5112202,-986012.8924253043,42
-985969.511333,-986012.8927515519,42
-985969.5116003,-986012.8928787019,42
-985969.5118661,-986012.8930846805,42
-985969.5121693,-986012.8933750528,42
-985969.512289,-986012.8937282615,42
-985969.5124905,-986012.894070695,42
-985969.512592,-986012.8947481428,42
-985969.5126105,-986012.8954751067,42
-985968.2082018,-986012.988079057,42
-985969.5131657,-986012.8955772228,42
-985968.5184812,-986012.9227997495,42
-985968.9811422,-986012.9151884365,42
-985969.1843372,-986012.93552632,42
-985969.322648,-986012.9372849048,42
-985969.4003581,-986012.9358210176,42
