DFT,MACE,num_al
-802867.6914207,-802866.9834248394,46
-1169071.111569,-1169070.6272175354,38
-1214846.710642,-1214846.094595243,37
-802867.6211074,-802866.9871232781,46
-1214846.608552,-1214846.08789262,37
-1214846.768185,-1214846.0934042938,37
-848642.5295589,-848642.4005442484,45
-1214846.690826,-1214846.0905663075,37
-1214846.236055,-1214846.0786026195,37
-1260622.229115,-1260621.556984771,36
-1260622.237305,-1260621.5607065333,36
-848643.1088246,-848642.442499731,45
-1260621.877905,-1260621.5296086676,36
-1260622.150259,-1260621.535279437,36
-848643.0310602,-848642.4480835582,45
-1260622.16354,-1260621.5396566174,36
-848642.7221301,-848642.4189324876,45
-1306397.614489,-1306397.02932122,35
-1306397.619309,-1306397.0219697128,35
-1306397.628721,-1306397.0288801712,35
-1306397.664973,-1306397.0108834733,35
-1306397.642766,-1306396.996577236,35
-482439.5904737,-482438.83076569904,53
-1352173.046487,-1352172.4758720354,34
-1352172.770334,-1352172.4561693629,34
-1352173.158023,-1352172.476702846,34
-1352167.847829,-1352172.315112474,34
-1397948.600171,-1397947.9292179858,33
-1397948.525714,-1397947.9255010807,33
-1397948.550509,-1397947.935897184,33
-1397943.257964,-1397947.7427018783,33
-1397948.521659,-1397947.9224460183,33
-1397948.518074,-1397947.9344572588,33
-1443724.006371,-1443723.427196988,32
-1443724.095186,-1443723.4053996431,32
-1443724.035687,-1443723.3709446553,32
-1443724.037496,-1443723.404002781,32
-1489499.593637,-1489498.860129727,31
-1489499.469186,-1489498.856873427,31
-1489499.476816,-1489498.862669638,31
-1489499.487838,-1489498.8715895298,31
-1489493.569642,-1489498.5736144853,31
-1489499.530597,-1489498.8718076583,31
-1489499.319589,-1489498.868821016,31
-1535275.047359,-1535274.3106737386,30
-1535275.069863,-1535274.3278754042,30
-1535274.84942,-1535274.3144771801,30
-1535274.797356,-1535274.3042802324,30
-1581050.416019,-1581049.807197903,29
-1581050.280217,-1581049.7723588313,29
-1581050.412074,-1581049.7839805859,29
-1581050.434704,-1581049.7898270867,29
-1626825.867236,-1626825.2646949736,28
-1626825.849724,-1626825.2640649949,28
-1626825.897736,-1626825.221815143,28
-1626825.926639,-1626825.2545857513,28
-1626825.920295,-1626825.2474422867,28
-1626825.933381,-1626825.26599638,28
-1626825.868458,-1626825.1858510927,28
-1626825.945562,-1626825.2694187404,28
-1672601.393096,-1672600.7278463466,27
-1672601.388742,-1672600.716581027,27
-1672601.382875,-1672600.712574729,27
-1672601.443536,-1672600.728665172,27
-1672601.466363,-1672600.7389031923,27
-1718376.889306,-1718376.1759452568,26
-1718376.812524,-1718376.168429645,26
-1718376.83013,-1718376.1803161115,26
-1718376.867086,-1718376.2013620795,26
-1718376.83439,-1718376.1974078075,26
-1718376.849533,-1718376.208069578,26
-1718376.853067,-1718376.2145084173,26
-1764152.253571,-1764151.633996462,25
-1764152.395215,-1764151.662087368,25
-1764146.86863,-1764150.972303005,25
-1764152.213894,-1764151.627276842,25
-528214.9974302,-528214.2726252347,52
-528215.0521362,-528214.2769282138,52
-1809927.860267,-1809927.1384556808,24
-1809923.111806,-1809926.2772408733,24
-1809927.871037,-1809927.1208552863,24
-1809927.866246,-1809927.1449886037,24
-1855703.260835,-1855702.5895207094,23
-1855703.127299,-1855702.5860248727,23
-1901478.775309,-1901478.0826354262,22
-1901478.675991,-1901478.0619710907,22
-1947254.304376,-1947253.5440537978,21
-1947254.315346,-1947253.5446267023,21
-1993029.779376,-1993029.0168869677,20
-1993029.7191,-1993029.016616962,20
-1993023.759977,-1993027.8149943464,20
-2038805.289713,-2038804.4784638328,19
-2038805.211792,-2038804.4796407023,19
